City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
247,Bengkulu,ID,77.0,-3.8004,102.2655,Grage Hotel Bengkulu
248,Fairbanks,US,15.1,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
249,Tatawin,TN,63.64,32.9297,10.4518,Auberge Alferdaous
250,Kruisfontein,ZA,64.89,-34.0033,24.7314,Oyster Bay House Rental
251,Namibe,AO,66.63,-15.1961,12.1522,Hotel Chik Chik Namibe
252,Pacatuba,BR,79.47,-3.9842,-38.6203,Pousada das Andreias
253,Karasjok,NO,35.91,69.4719,25.5112,Karasjok camping AS
254,Nishihara,JP,76.28,26.1842,127.7558,Minshuku Agaihama
255,Adwa,ET,59.02,14.1646,38.8955,Maay Assa Hotel
256,Biltine,TD,69.75,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
257,Bolivar,US,71.13,37.6145,-93.4105,Comfort Inn Bolivar
258,Diffa,NE,75.56,13.3154,12.6113,ProDAF/Diffa
259,Inhambane,MZ,71.89,-23.865,35.3833,Oceano
260,Codrington,AU,57.22,-38.2667,141.9667,
261,Sandnessjoen,NO,47.64,66.0217,12.6316,Syv Søstre Apartments
262,Nakatsu,JP,59.18,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
263,Culpeper,US,60.1,38.5004,-77.9664,Suites at 249
264,Mandalgovi,MN,22.91,45.7625,106.2708,В.Ганбат
265,Mehamn,NO,44.55,71.0357,27.8492,Mehamn Arctic Hotel AS
266,Okhotsk,RU,26.08,59.3833,143.3,
267,Portland,US,49.08,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
268,Pitkyaranta,RU,30.99,61.5734,31.4792,Pitkyaranta hotel
269,Odweyne,SO,72.48,9.4092,45.064,Eng Hiirey House
270,Port Keats,AU,88.45,-14.25,129.55,Kardu Durrikardu Numida Hostel
271,Klaksvik,FO,45.52,62.2266,-6.589,Airbnb rooms
272,Mason City,US,66.33,43.1536,-93.201,Days Inn by Wyndham Mason City
273,Guilin,CN,68.23,25.2819,110.2864,Grand 0773 Hotel
274,Khani,GE,40.57,41.9563,42.9566,Guest House Kakasxidi სასტუმრო კაკასხიდი
275,Madimba,TZ,73.99,-10.4,40.3333,
276,Novi Sanzhary,UA,42.89,49.3439,34.3108,Міні-готель Стожари
277,Cabo San Lucas,MX,82.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
278,Pisco,PE,62.65,-13.7,-76.2167,Hotel San Isidro Oficial
279,Sawtell,AU,68.02,-30.3833,153.1,The Bungalow Sawtell
280,Hervey Bay,AU,70.52,-25.2986,152.8535,Shelly Bay Resort
281,Akyab,MM,75.11,20.15,92.9,ဟိုတယ် မန်မိုရီ
282,Sale,MA,62.74,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
283,Thayetmyo,MM,68.97,19.3167,95.1833,Htarwaya Thitsar Guest House
284,Ugoofaaru,MV,81.12,5.6667,73.0,Ungoofaaru Inn
285,Kupang,ID,84.76,-10.1667,123.5833,Hotel On The Rock by Prasanthi
286,Lagoa,PT,67.05,39.05,-27.9833,Casa Das Faias
287,Hamilton,US,65.88,39.1834,-84.5333,Six Acres Bed & Breakfast
288,Garden City,US,61.05,42.3256,-83.331,Big Trees Mobile Home Community
289,Udachnyy,RU,8.46,66.4167,112.4,Severnoye Siyaniye
290,Mamou,GN,70.86,10.5,-12.0,
291,Dehloran,IR,67.1,32.6941,47.2679,کافه گیم استورم
292,Yeppoon,AU,74.98,-23.1333,150.7333,Villa Mar Colina
293,Harper,LR,77.74,4.375,-7.7169,Screensaver
294,Kulhudhuffushi,MV,81.25,6.6221,73.07,Haajy Guest House 1
295,Epe,NG,76.42,6.5841,3.9834,MAGVILLE HOTEL
296,Bismarck,US,33.64,46.8083,-100.7837,Bismarck Hotel and Conference Center
297,Hovd,MN,25.12,48.0056,91.6419,Hotel Buyant
298,Ampere,BR,54.84,-25.915,-53.4728,Hotel
299,Mattru,SL,74.61,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
300,Kenitra,MA,59.76,34.261,-6.5802,Bienvenue chez vous
301,Nurota,UZ,53.22,40.5614,65.6886,Guest House Ruslan Nurata & Tours
302,Geraldton,AU,66.61,-28.7667,114.6,Broadwater Mariner Resort
303,Mizan Teferi,ET,59.61,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
304,Meulaboh,ID,73.35,4.1363,96.1285,Kost Pria
305,Diego De Almagro,CL,65.57,-26.3667,-70.05,hotel luna del desierto
306,Calvinia,ZA,59.63,-31.4707,19.776,Die Lemoenhuis
307,Emba,KZ,29.84,48.8264,58.1442,
308,Buraydah,SA,62.8,26.326,43.975,Mövenpick Qassim
310,Acapulco,MX,82.22,16.8634,-99.8901,HS Hotsson Smart Acapulco
311,Arman,RU,28.02,59.7,150.1667,
312,Amurzet,RU,25.83,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
313,Kavaratti,IN,81.41,10.5669,72.642,Green leaf
314,Port Lincoln,AU,59.02,-34.7333,135.8667,Port Lincoln Hotel
315,Erenhot,CN,27.0,43.6475,111.9767,Erenhot Rurouni Youth Hostel
316,San Patricio,US,80.46,28.017,-97.5169,"Motel 6 Sinton, TX"
317,Abu Kamal,SY,63.73,34.4506,40.9171,محطة التلفاز
318,Tramore,IE,44.64,52.1624,-7.1524,Majestic Hotel
319,Sao Joao Da Barra,BR,66.94,-21.6403,-41.0511,Pousada Porto De Canoas
320,Pierre,US,38.86,44.3683,-100.351,Ramkota Hotel
321,Neuquen,AR,82.29,-38.9516,-68.0591,Hotel del Comahue
322,Kolyshley,RU,33.84,52.7005,44.5367,
323,Port Hardy,CA,39.69,50.6996,-127.4199,Airport Inn-Port Hardy
324,Lavrentiya,RU,15.03,65.5833,-171.0,
325,Wattegama,LK,73.2,6.7989,81.4808,
326,Mount Vernon,US,58.84,40.9126,-73.8371,Ramada by Wyndham Bronx
327,Fochville,ZA,63.68,-26.4886,27.4939,Eden Vreugd Guesthouse
328,Beloha,MG,63.5,-25.1667,45.05,
329,Newberry,US,61.5,34.2746,-81.6187,Hampton Inn Newberry-Opera House
330,Alofi,NU,76.82,-19.0595,-169.9187,Taloa Heights
331,Tilichiki,RU,17.02,60.4667,166.1,
332,Muli,MV,81.19,2.9167,73.5667,Medhufushi Island Resort
333,Noumea,NC,89.58,-22.2763,166.4572,Hôtel Le Lagon
334,Sinnamary,GF,78.28,5.3833,-52.95,ALETHEIA Appartement Sinnamary
335,Pundaguitan,PH,82.35,6.3711,126.1689,Leonardo Family Beach House 1
336,Coria,ES,56.44,39.9879,-6.5377,Hotel San Cristóbal
337,Santa Cruz,BO,65.66,-17.8,-63.1667,Aviador Hotel Boutique
338,Havre-Saint-Pierre,CA,38.61,50.2334,-63.5986,Auberge Niapiskau
339,Batagay-Alyta,RU,2.07,67.8006,130.4114,
340,Ballitoville,ZA,69.24,-29.539,31.2144,Hampshire Hotel-Ballito
341,Stanovoye,RU,31.24,52.7638,38.3582,Базилик Становое
342,Marzuq,YE,65.98,14.4,46.4667,حيد القفلة
343,Skjervoy,NO,41.0,70.0311,20.9714,Tschudi Marine Services AS
344,Mahanoro,MG,72.5,-19.9,48.8,BUNGALOW MAHAMANINA
345,Kutum,SD,60.82,14.2,24.6667,Dibbo areaمنطقة دبو
346,Camopi,GF,72.86,3.1655,-52.3158,La pousada
347,Sandanski,BG,56.71,41.5667,23.2833,"Hotel ""Perun"""
348,Turochak,RU,32.31,52.2576,87.1224,"Usad'ba ""Lebed'"""
349,Novikovo,RU,33.33,51.1537,37.8879,
350,Milkovo,RU,25.56,54.7167,158.6167,"Hotel ""Geologist"""
351,Libertador General San Martin,AR,64.29,-23.8064,-64.7876,Posada del Sol
352,Kurumkan,RU,20.77,54.3,110.3,Ilikchin
353,Nagato,JP,60.39,34.3833,131.2,いそう庵
354,Russkiy Aktash,RU,21.47,55.0384,52.1214,"Gostevoy Dom ""Skazka"""
355,Tshikapa,CD,68.11,-6.4167,20.8,Tatem beach
356,Cam Ranh,VN,76.96,11.9214,109.1591,OYO 598 Peony Hotel
357,Coquimbo,CL,56.93,-29.9533,-71.3436,Hotel San Juan
358,Valea Viilor,RO,40.35,46.0833,24.2833,Cabana Marius
359,Flin Flon,CA,16.79,54.7682,-101.865,Victoria Inn Flin Flon
360,East London,ZA,68.07,-33.0153,27.9116,Tu Casa
